day_hr,num_trades,total_usd,total_fees_usd,num_new_positions,liq_usd_added,liq_usd_net
2022-01-24 12:00:00.000 UTC,2442,1.378509394249614e+08,202500.32037359872,15,3.0306306100525204e+06,-371919.03062045074
2021-11-12 07:00:00.000 UTC,1621,7.034544165658717e+07,163665.8682337817,15,1.9897580862258463e+06,-3.967112632322249e+06
2021-11-10 14:00:00.000 UTC,2524,1.3741801092149746e+08,267461.57193014247,14,2.0031118798808645e+07,-1.1046091337748314e+06
2021-09-21 16:00:00.000 UTC,1890,9.404867239140989e+07,180914.2685813849,18,6.645374772916667e+06,5.211163319716684e+06
2021-08-14 04:00:00.000 UTC,1449,1.8444656058114897e+07,36978.59997531114,21,2.2326206786596053e+06,-1.143793488766271e+07
2021-07-25 23:00:00.000 UTC,2403,6.1857005877797596e+07,98078.04971003107,30,6.851285012572937e+07,8.838038222390339e+06
2021-07-19 20:00:00.000 UTC,1812,1.900489558016528e+07,29236.24385763448,23,3.757643966142592e+07,-1.5814183351878903e+06
2021-06-07 09:00:00.000 UTC,1257,2.5421810725569587e+07,66218.81417110341,31,1.376852142825489e+07,1.222720854841821e+07
2021-05-10 22:00:00.000 UTC,1808,5.348631125777751e+07,171158.1845137931,11,3.23087768151471e+06,-1.6022548229464525e+06
2023-06-16 03:00:00.000 UTC,1506,9.010667827447841e+06,10561.607445220598,19,1.2967264135367335e+06,-1.4777901109074699e+06
2023-05-23 22:00:00.000 UTC,3141,1.7238795567141034e+07,73541.49863398267,12,2.5929965542279102e+07,-186756.75408745414
2023-05-08 17:00:00.000 UTC,5705,7.625403399593082e+07,178135.15333557082,28,5.647416939872571e+07,150987.17555553827
